folder_name,data_split
BraTS-GoAT-00322,Train
BraTS-GoAT-00327,Validation
BraTS-GoAT-00328,Train
BraTS-GoAT-00330,Test
BraTS-GoAT-00334,Train
BraTS-GoAT-00336,Train
BraTS-GoAT-00337,Test
BraTS-GoAT-00338,Train
BraTS-GoAT-00341,Train
BraTS-GoAT-00344,Validation
BraTS-GoAT-00350,Test
BraTS-GoAT-00352,Train
BraTS-GoAT-00353,Train
BraTS-GoAT-00355,Train
BraTS-GoAT-00359,Test
BraTS-GoAT-00360,Test
BraTS-GoAT-00361,Train
BraTS-GoAT-00363,Train
BraTS-GoAT-00364,Train
BraTS-GoAT-00366,Train
BraTS-GoAT-00368,Train
BraTS-GoAT-00370,Validation
BraTS-GoAT-00371,Train
BraTS-GoAT-00374,Train
BraTS-GoAT-00378,Validation
BraTS-GoAT-00381,Train
BraTS-GoAT-00382,Test
BraTS-GoAT-00383,Train
BraTS-GoAT-00384,Train
BraTS-GoAT-00385,Train
BraTS-GoAT-00391,Train
BraTS-GoAT-00392,Validation
BraTS-GoAT-00393,Train
BraTS-GoAT-00395,Train
BraTS-GoAT-00396,Train
BraTS-GoAT-00398,Train
BraTS-GoAT-00399,Train
BraTS-GoAT-00400,Train
BraTS-GoAT-00401,Train
BraTS-GoAT-00403,Train
BraTS-GoAT-00404,Train
BraTS-GoAT-00406,Train
BraTS-GoAT-00407,Train
BraTS-GoAT-00408,Validation
BraTS-GoAT-00410,Validation
BraTS-GoAT-00411,Train
BraTS-GoAT-00413,Train
BraTS-GoAT-00414,Train
BraTS-GoAT-00416,Validation
BraTS-GoAT-00417,Validation
BraTS-GoAT-00418,Train
BraTS-GoAT-00419,Validation
BraTS-GoAT-00421,Validation
BraTS-GoAT-00423,Train
BraTS-GoAT-00424,Train
BraTS-GoAT-00425,Train
BraTS-GoAT-00426,Train
BraTS-GoAT-00429,Train
BraTS-GoAT-00432,Train
BraTS-GoAT-00437,Train
BraTS-GoAT-00438,Train
BraTS-GoAT-00439,Train
BraTS-GoAT-00441,Train
BraTS-GoAT-00444,Train
BraTS-GoAT-00445,Train
BraTS-GoAT-00446,Validation
BraTS-GoAT-00448,Validation
BraTS-GoAT-00450,Train
BraTS-GoAT-00451,Validation
BraTS-GoAT-00452,Train
BraTS-GoAT-00453,Train
BraTS-GoAT-00456,Test
BraTS-GoAT-00457,Validation
BraTS-GoAT-00458,Train
BraTS-GoAT-00463,Train
BraTS-GoAT-00464,Train
BraTS-GoAT-00466,Train
BraTS-GoAT-00467,Test
BraTS-GoAT-00469,Test
BraTS-GoAT-00472,Train
BraTS-GoAT-00473,Train
BraTS-GoAT-00474,Train
BraTS-GoAT-00475,Test
BraTS-GoAT-00478,Train
BraTS-GoAT-00480,Test
BraTS-GoAT-00482,Train
BraTS-GoAT-00484,Train
BraTS-GoAT-00486,Train
BraTS-GoAT-00487,Train
BraTS-GoAT-00489,Train
BraTS-GoAT-00491,Test
BraTS-GoAT-00493,Train
BraTS-GoAT-00494,Train
BraTS-GoAT-00495,Train
BraTS-GoAT-00497,Test
BraTS-GoAT-00498,Train
BraTS-GoAT-00499,Validation
BraTS-GoAT-00500,Train
BraTS-GoAT-00501,Test
BraTS-GoAT-00504,Test
BraTS-GoAT-00505,Train
BraTS-GoAT-00506,Train
BraTS-GoAT-00508,Validation
BraTS-GoAT-00509,Train
BraTS-GoAT-00510,Train
BraTS-GoAT-00511,Validation
BraTS-GoAT-00513,Train
BraTS-GoAT-00514,Train
BraTS-GoAT-00517,Train
BraTS-GoAT-00519,Test
BraTS-GoAT-00520,Train
BraTS-GoAT-00524,Test
BraTS-GoAT-00526,Train
BraTS-GoAT-00527,Test
BraTS-GoAT-00528,Validation
BraTS-GoAT-00530,Train
BraTS-GoAT-00531,Validation
BraTS-GoAT-00532,Test
BraTS-GoAT-00533,Train
BraTS-GoAT-00534,Train
BraTS-GoAT-00535,Validation
BraTS-GoAT-00538,Train
BraTS-GoAT-00541,Test
BraTS-GoAT-00542,Test
BraTS-GoAT-00544,Train
BraTS-GoAT-00546,Validation
BraTS-GoAT-00547,Validation
BraTS-GoAT-00551,Validation
BraTS-GoAT-00554,Train
BraTS-GoAT-00555,Validation
BraTS-GoAT-00556,Train
BraTS-GoAT-00557,Train
BraTS-GoAT-00558,Test
BraTS-GoAT-00559,Test
BraTS-GoAT-00560,Train
BraTS-GoAT-00561,Train
BraTS-GoAT-00562,Train
BraTS-GoAT-00566,Test
BraTS-GoAT-00569,Train
BraTS-GoAT-00574,Test
BraTS-GoAT-00576,Train
BraTS-GoAT-00578,Test
BraTS-GoAT-00580,Train
BraTS-GoAT-00582,Validation
BraTS-GoAT-00583,Train
BraTS-GoAT-00587,Test
BraTS-GoAT-00590,Validation
BraTS-GoAT-00591,Test
BraTS-GoAT-00592,Train
BraTS-GoAT-00593,Train
BraTS-GoAT-00594,Validation
BraTS-GoAT-00596,Validation
BraTS-GoAT-00597,Test
BraTS-GoAT-00598,Train
BraTS-GoAT-00600,Train
BraTS-GoAT-00601,Train
BraTS-GoAT-00602,Train
BraTS-GoAT-00603,Train
BraTS-GoAT-00605,Train
BraTS-GoAT-00606,Train
BraTS-GoAT-00607,Train
BraTS-GoAT-00608,Test
BraTS-GoAT-00614,Train
BraTS-GoAT-00615,Train
BraTS-GoAT-00618,Test
BraTS-GoAT-00620,Test
BraTS-GoAT-00622,Test
BraTS-GoAT-00623,Train
BraTS-GoAT-00626,Train
BraTS-GoAT-00627,Validation
BraTS-GoAT-00632,Test
BraTS-GoAT-00635,Test
BraTS-GoAT-00638,Validation
BraTS-GoAT-00640,Train
BraTS-GoAT-00641,Train
BraTS-GoAT-00647,Train
BraTS-GoAT-00648,Train
BraTS-GoAT-00649,Train
BraTS-GoAT-00656,Train
BraTS-GoAT-00657,Test
BraTS-GoAT-00659,Train
BraTS-GoAT-00660,Train
BraTS-GoAT-00661,Validation
BraTS-GoAT-00662,Test
BraTS-GoAT-00663,Validation
BraTS-GoAT-00665,Train
BraTS-GoAT-00666,Train
BraTS-GoAT-00667,Train
BraTS-GoAT-00671,Train
BraTS-GoAT-00672,Test
BraTS-GoAT-00675,Train
BraTS-GoAT-00677,Train
BraTS-GoAT-00678,Train
BraTS-GoAT-00679,Test
BraTS-GoAT-00681,Test
BraTS-GoAT-00683,Train
BraTS-GoAT-00684,Train
BraTS-GoAT-00689,Train
BraTS-GoAT-00691,Train
BraTS-GoAT-00692,Train
BraTS-GoAT-00693,Test
BraTS-GoAT-00696,Train
BraTS-GoAT-00698,Train
BraTS-GoAT-00701,Train
BraTS-GoAT-00709,Train
BraTS-GoAT-00711,Train
BraTS-GoAT-00712,Train
BraTS-GoAT-00713,Train
BraTS-GoAT-00716,Train
BraTS-GoAT-00718,Validation
BraTS-GoAT-00721,Train
BraTS-GoAT-00722,Test
BraTS-GoAT-00723,Train
BraTS-GoAT-00724,Train
BraTS-GoAT-00725,Test
BraTS-GoAT-00727,Test
BraTS-GoAT-00728,Train
BraTS-GoAT-00729,Test
BraTS-GoAT-00730,Validation
BraTS-GoAT-00732,Train
BraTS-GoAT-00733,Train
BraTS-GoAT-00734,Train
BraTS-GoAT-00737,Train
BraTS-GoAT-00739,Validation
BraTS-GoAT-00740,Test
BraTS-GoAT-00743,Validation
BraTS-GoAT-00744,Train
BraTS-GoAT-00745,Train
BraTS-GoAT-00747,Train
BraTS-GoAT-00748,Test
BraTS-GoAT-00750,Test
BraTS-GoAT-00751,Train
BraTS-GoAT-00752,Train
BraTS-GoAT-00753,Validation
BraTS-GoAT-00755,Validation
BraTS-GoAT-00758,Validation
BraTS-GoAT-00759,Validation
BraTS-GoAT-00760,Train
BraTS-GoAT-00762,Test
BraTS-GoAT-00763,Test
BraTS-GoAT-00764,Validation
BraTS-GoAT-00765,Train
BraTS-GoAT-00767,Validation
BraTS-GoAT-00769,Test
BraTS-GoAT-00771,Train
BraTS-GoAT-00772,Train
BraTS-GoAT-00773,Train
BraTS-GoAT-00775,Validation
BraTS-GoAT-00778,Train
BraTS-GoAT-00782,Test
BraTS-GoAT-00783,Train
BraTS-GoAT-00786,Validation
BraTS-GoAT-00792,Train
BraTS-GoAT-00796,Validation
BraTS-GoAT-00797,Train
BraTS-GoAT-00799,Train
BraTS-GoAT-00800,Train
BraTS-GoAT-00802,Train
BraTS-GoAT-00803,Train
BraTS-GoAT-00804,Test
BraTS-GoAT-00805,Train
BraTS-GoAT-00806,Test
BraTS-GoAT-00808,Test
BraTS-GoAT-00810,Validation
BraTS-GoAT-00812,Train
BraTS-GoAT-00814,Test
BraTS-GoAT-00815,Validation
BraTS-GoAT-00816,Validation
BraTS-GoAT-00817,Train
BraTS-GoAT-00819,Train
BraTS-GoAT-00821,Test
BraTS-GoAT-00826,Validation
BraTS-GoAT-00828,Train
BraTS-GoAT-00829,Train
BraTS-GoAT-00832,Train
BraTS-GoAT-00834,Train
BraTS-GoAT-00835,Train
BraTS-GoAT-00836,Test
BraTS-GoAT-00837,Validation
BraTS-GoAT-00839,Test
BraTS-GoAT-00840,Train
BraTS-GoAT-00841,Validation
BraTS-GoAT-00842,Train
BraTS-GoAT-00845,Train
BraTS-GoAT-00848,Train
BraTS-GoAT-00851,Train
BraTS-GoAT-00852,Validation
BraTS-GoAT-00855,Test
BraTS-GoAT-00856,Validation
BraTS-GoAT-00857,Train
BraTS-GoAT-00858,Train
BraTS-GoAT-00861,Train
BraTS-GoAT-00862,Test
BraTS-GoAT-00866,Train
BraTS-GoAT-00867,Train
BraTS-GoAT-00870,Train
BraTS-GoAT-00871,Train
BraTS-GoAT-00872,Train
BraTS-GoAT-00873,Train
BraTS-GoAT-00874,Test
BraTS-GoAT-00875,Test
BraTS-GoAT-00878,Train
BraTS-GoAT-00880,Validation
BraTS-GoAT-00881,Train
BraTS-GoAT-00883,Validation
BraTS-GoAT-00884,Train
BraTS-GoAT-00885,Validation
BraTS-GoAT-00887,Test
BraTS-GoAT-00890,Validation
BraTS-GoAT-00891,Test
BraTS-GoAT-00892,Validation
BraTS-GoAT-00893,Validation
BraTS-GoAT-00894,Train
BraTS-GoAT-00896,Validation
BraTS-GoAT-00897,Train
BraTS-GoAT-00900,Train
BraTS-GoAT-00902,Train
BraTS-GoAT-00903,Validation
BraTS-GoAT-00904,Test
BraTS-GoAT-00908,Train
BraTS-GoAT-00909,Test
BraTS-GoAT-00910,Train
BraTS-GoAT-00912,Train
BraTS-GoAT-00916,Train
BraTS-GoAT-00917,Train
BraTS-GoAT-00921,Train
BraTS-GoAT-00924,Train
BraTS-GoAT-00926,Train
BraTS-GoAT-00928,Test
BraTS-GoAT-00929,Train
BraTS-GoAT-00931,Validation
BraTS-GoAT-00932,Train
BraTS-GoAT-00933,Train
BraTS-GoAT-00934,Train
BraTS-GoAT-00935,Validation
BraTS-GoAT-00936,Train
BraTS-GoAT-00937,Train
BraTS-GoAT-00941,Train
BraTS-GoAT-00942,Train
BraTS-GoAT-00943,Test
BraTS-GoAT-00945,Train
BraTS-GoAT-00946,Test
BraTS-GoAT-00947,Train
BraTS-GoAT-00949,Train
BraTS-GoAT-00951,Train
BraTS-GoAT-00952,Validation
BraTS-GoAT-00953,Train
BraTS-GoAT-00954,Train
BraTS-GoAT-00955,Train
BraTS-GoAT-00956,Validation
BraTS-GoAT-00957,Validation
BraTS-GoAT-00958,Train
BraTS-GoAT-00959,Train
BraTS-GoAT-00962,Train
BraTS-GoAT-00963,Train
BraTS-GoAT-00964,Train
BraTS-GoAT-00969,Train
BraTS-GoAT-00970,Validation
BraTS-GoAT-00971,Train
BraTS-GoAT-00973,Validation
BraTS-GoAT-00976,Test
BraTS-GoAT-00977,Train
BraTS-GoAT-00978,Train
BraTS-GoAT-00979,Train
BraTS-GoAT-00980,Train
BraTS-GoAT-00982,Validation
BraTS-GoAT-00984,Train
BraTS-GoAT-00986,Train
BraTS-GoAT-00987,Train
BraTS-GoAT-00988,Test
BraTS-GoAT-00990,Train
BraTS-GoAT-00991,Train
BraTS-GoAT-00992,Train
BraTS-GoAT-00993,Train
BraTS-GoAT-00996,Validation
BraTS-GoAT-01000,Train
BraTS-GoAT-01003,Validation
BraTS-GoAT-01006,Train
BraTS-GoAT-01008,Train
BraTS-GoAT-01012,Train
BraTS-GoAT-01013,Test
BraTS-GoAT-01014,Train
BraTS-GoAT-01018,Validation
BraTS-GoAT-01020,Validation
BraTS-GoAT-01021,Train
BraTS-GoAT-01022,Train
BraTS-GoAT-01023,Train
BraTS-GoAT-01024,Train
BraTS-GoAT-01026,Train
BraTS-GoAT-01027,Train
BraTS-GoAT-01028,Train
BraTS-GoAT-01029,Validation
BraTS-GoAT-01031,Train
BraTS-GoAT-01032,Train
BraTS-GoAT-01033,Train
BraTS-GoAT-01034,Train
BraTS-GoAT-01035,Validation
BraTS-GoAT-01037,Train
BraTS-GoAT-01039,Validation
BraTS-GoAT-01043,Train
BraTS-GoAT-01044,Test
BraTS-GoAT-01046,Validation
BraTS-GoAT-01047,Validation
BraTS-GoAT-01049,Test
BraTS-GoAT-01051,Train
BraTS-GoAT-01053,Test
BraTS-GoAT-01055,Train
BraTS-GoAT-01057,Test
BraTS-GoAT-01058,Train
BraTS-GoAT-01059,Train
BraTS-GoAT-01060,Train
BraTS-GoAT-01062,Train
BraTS-GoAT-01064,Train
BraTS-GoAT-01066,Train
BraTS-GoAT-01067,Train
BraTS-GoAT-01068,Validation
BraTS-GoAT-01070,Train
BraTS-GoAT-01072,Train
BraTS-GoAT-01074,Train
BraTS-GoAT-01075,Test
BraTS-GoAT-01076,Train
BraTS-GoAT-01077,Train
BraTS-GoAT-01078,Test
BraTS-GoAT-01079,Train
BraTS-GoAT-01080,Validation
BraTS-GoAT-01082,Validation
BraTS-GoAT-01083,Train
BraTS-GoAT-01088,Test
BraTS-GoAT-01091,Train
BraTS-GoAT-01092,Train
BraTS-GoAT-01093,Validation
BraTS-GoAT-01097,Test
BraTS-GoAT-01098,Train
BraTS-GoAT-01100,Validation
BraTS-GoAT-01102,Test
BraTS-GoAT-01105,Test
BraTS-GoAT-01108,Test
BraTS-GoAT-01110,Train
BraTS-GoAT-01115,Train
BraTS-GoAT-01116,Test
BraTS-GoAT-01117,Train
BraTS-GoAT-01120,Train
BraTS-GoAT-01123,Train
BraTS-GoAT-01124,Validation
BraTS-GoAT-01126,Train
BraTS-GoAT-01127,Train
BraTS-GoAT-01128,Train
BraTS-GoAT-01129,Validation
BraTS-GoAT-01133,Validation
BraTS-GoAT-01134,Validation
BraTS-GoAT-01135,Train
BraTS-GoAT-01136,Train
BraTS-GoAT-01137,Train
BraTS-GoAT-01138,Train
BraTS-GoAT-01139,Train
BraTS-GoAT-01141,Train
BraTS-GoAT-01142,Train
BraTS-GoAT-01146,Train
BraTS-GoAT-01147,Test
BraTS-GoAT-01150,Test
BraTS-GoAT-01151,Test
BraTS-GoAT-01153,Test
BraTS-GoAT-01154,Train
BraTS-GoAT-01155,Validation
BraTS-GoAT-01157,Train
BraTS-GoAT-01159,Test
BraTS-GoAT-01160,Train
BraTS-GoAT-01161,Train
BraTS-GoAT-01162,Train
BraTS-GoAT-01165,Train
BraTS-GoAT-01166,Train
BraTS-GoAT-01167,Train
BraTS-GoAT-01170,Train
BraTS-GoAT-01173,Test
BraTS-GoAT-01175,Train
BraTS-GoAT-01176,Test
BraTS-GoAT-01178,Train
BraTS-GoAT-01179,Train
BraTS-GoAT-01180,Train
BraTS-GoAT-01183,Train
BraTS-GoAT-01184,Validation
BraTS-GoAT-01185,Validation
BraTS-GoAT-01186,Test
BraTS-GoAT-01187,Test
BraTS-GoAT-01188,Train
BraTS-GoAT-01189,Train
BraTS-GoAT-01193,Train
BraTS-GoAT-01194,Train
BraTS-GoAT-01195,Train
BraTS-GoAT-01196,Train
BraTS-GoAT-01197,Test
BraTS-GoAT-01201,Train
BraTS-GoAT-01202,Train
BraTS-GoAT-01203,Test
BraTS-GoAT-01204,Train
BraTS-GoAT-01206,Validation
BraTS-GoAT-01209,Test
BraTS-GoAT-01211,Train
BraTS-GoAT-01212,Train
BraTS-GoAT-01214,Validation
BraTS-GoAT-01216,Train
BraTS-GoAT-01219,Train
BraTS-GoAT-01225,Test
BraTS-GoAT-01230,Train
BraTS-GoAT-01231,Train
BraTS-GoAT-01232,Test
BraTS-GoAT-01233,Test
BraTS-GoAT-01234,Dropout
BraTS-GoAT-01235,Validation
BraTS-GoAT-01236,Train
BraTS-GoAT-01241,Validation
BraTS-GoAT-01242,Train
BraTS-GoAT-01243,Train
BraTS-GoAT-01244,Train
BraTS-GoAT-01245,Train
BraTS-GoAT-01247,Train
BraTS-GoAT-01248,Validation
BraTS-GoAT-01249,Train
BraTS-GoAT-01251,Test
BraTS-GoAT-01253,Test
BraTS-GoAT-01254,Train
BraTS-GoAT-01257,Validation
BraTS-GoAT-01258,Train
BraTS-GoAT-01260,Train
BraTS-GoAT-01261,Train
BraTS-GoAT-01262,Train
BraTS-GoAT-01263,Train
BraTS-GoAT-01265,Train
BraTS-GoAT-01266,Train
BraTS-GoAT-01268,Train
BraTS-GoAT-01270,Train
BraTS-GoAT-01271,Train
BraTS-GoAT-01272,Train
BraTS-GoAT-01273,Train
BraTS-GoAT-01275,Test
BraTS-GoAT-01276,Test
BraTS-GoAT-01278,Train
BraTS-GoAT-01282,Train
BraTS-GoAT-01284,Validation
BraTS-GoAT-01285,Train
BraTS-GoAT-01288,Train
BraTS-GoAT-01290,Train
BraTS-GoAT-01294,Validation
BraTS-GoAT-01297,Train
BraTS-GoAT-01299,Test
BraTS-GoAT-01301,Test
BraTS-GoAT-01303,Train
BraTS-GoAT-01306,Validation
BraTS-GoAT-01307,Train
BraTS-GoAT-01308,Validation
BraTS-GoAT-01312,Test
BraTS-GoAT-01316,Train
BraTS-GoAT-01317,Test
BraTS-GoAT-01318,Train
BraTS-GoAT-01320,Train
BraTS-GoAT-01321,Train
BraTS-GoAT-01328,Train
BraTS-GoAT-01331,Train
BraTS-GoAT-01332,Train
BraTS-GoAT-01334,Train
BraTS-GoAT-01335,Train
BraTS-GoAT-01336,Train
BraTS-GoAT-01337,Train
BraTS-GoAT-01340,Test
BraTS-GoAT-01341,Test
BraTS-GoAT-01342,Train
BraTS-GoAT-01344,Test
BraTS-GoAT-01345,Train
BraTS-GoAT-01346,Train
BraTS-GoAT-01347,Train
BraTS-GoAT-01348,Train
BraTS-GoAT-01349,Validation
BraTS-GoAT-01350,Train
BraTS-GoAT-01351,Train
BraTS-GoAT-01352,Train
BraTS-GoAT-01353,Validation
BraTS-GoAT-01356,Train
BraTS-GoAT-01358,Test
BraTS-GoAT-01362,Train
BraTS-GoAT-01363,Train
BraTS-GoAT-01365,Train
BraTS-GoAT-01366,Train
BraTS-GoAT-01370,Train
BraTS-GoAT-01371,Train
BraTS-GoAT-01372,Train
BraTS-GoAT-01375,Train
BraTS-GoAT-01376,Validation
BraTS-GoAT-01380,Train
BraTS-GoAT-01383,Validation
BraTS-GoAT-01384,Train
BraTS-GoAT-01385,Test
BraTS-GoAT-01386,Validation
BraTS-GoAT-01388,Test
BraTS-GoAT-01390,Train
BraTS-GoAT-01391,Validation
BraTS-GoAT-01392,Train
BraTS-GoAT-01394,Train
BraTS-GoAT-01397,Train
BraTS-GoAT-01398,Test
BraTS-GoAT-01405,Train
BraTS-GoAT-01406,Train
BraTS-GoAT-01411,Train
BraTS-GoAT-01415,Train
BraTS-GoAT-01416,Train
BraTS-GoAT-01418,Test
BraTS-GoAT-01419,Train
BraTS-GoAT-01420,Train
BraTS-GoAT-01421,Train
BraTS-GoAT-01422,Test
BraTS-GoAT-01425,Train
BraTS-GoAT-01427,Train
BraTS-GoAT-01429,Test
BraTS-GoAT-01431,Train
BraTS-GoAT-01433,Train
BraTS-GoAT-01435,Train
BraTS-GoAT-01436,Train
BraTS-GoAT-01438,Train
BraTS-GoAT-01439,Test
BraTS-GoAT-01443,Test
BraTS-GoAT-01448,Train
BraTS-GoAT-01451,Test
BraTS-GoAT-01452,Train
BraTS-GoAT-01453,Train
BraTS-GoAT-01454,Train
BraTS-GoAT-01456,Test
BraTS-GoAT-01460,Train
BraTS-GoAT-01461,Train
BraTS-GoAT-01464,Train
BraTS-GoAT-01465,Train
BraTS-GoAT-01470,Train
BraTS-GoAT-01472,Test
BraTS-GoAT-01475,Train
BraTS-GoAT-01476,Train
BraTS-GoAT-01479,Train
BraTS-GoAT-01482,Validation
BraTS-GoAT-01483,Train
BraTS-GoAT-01487,Train
BraTS-GoAT-01488,Train
BraTS-GoAT-01489,Train
BraTS-GoAT-01491,Train
BraTS-GoAT-01492,Test
BraTS-GoAT-01496,Train
BraTS-GoAT-01498,Test
BraTS-GoAT-01499,Train
BraTS-GoAT-01500,Train
BraTS-GoAT-01501,Test
BraTS-GoAT-01502,Train
BraTS-GoAT-01506,Train
BraTS-GoAT-01508,Test
BraTS-GoAT-01509,Test
BraTS-GoAT-01511,Train
BraTS-GoAT-01512,Test
BraTS-GoAT-01513,Train
BraTS-GoAT-01514,Train
BraTS-GoAT-01519,Train
BraTS-GoAT-01520,Validation
BraTS-GoAT-01521,Train
BraTS-GoAT-01522,Test
BraTS-GoAT-01523,Test
BraTS-GoAT-01524,Train
BraTS-GoAT-01526,Test
BraTS-GoAT-01527,Train
BraTS-GoAT-01530,Test
BraTS-GoAT-01531,Train
BraTS-GoAT-01532,Train
BraTS-GoAT-01534,Train
BraTS-GoAT-01535,Train
BraTS-GoAT-01536,Train
BraTS-GoAT-01539,Test
BraTS-GoAT-01541,Train
BraTS-GoAT-01542,Train
BraTS-GoAT-01543,Validation
BraTS-GoAT-01544,Train
BraTS-GoAT-01545,Train
BraTS-GoAT-01548,Train
BraTS-GoAT-01549,Train
BraTS-GoAT-01550,Validation
BraTS-GoAT-01552,Test
BraTS-GoAT-01553,Train
BraTS-GoAT-01555,Train
BraTS-GoAT-01558,Test
BraTS-GoAT-01560,Train
BraTS-GoAT-01561,Train
BraTS-GoAT-01563,Train
BraTS-GoAT-01564,Train
BraTS-GoAT-01566,Train
BraTS-GoAT-01570,Train
BraTS-GoAT-01572,Train
